OBCINA,category,deals_count,avg_price_m2,median_price_m2
NOVO MESTO,apartment,99.0,2909.393932746308,2948.2758620689656
OPLOTNICA,apartment,5.0,2150.652973535622,2389.5348837209303
ORMOŽ,apartment,20.0,1330.4574922828085,1512.0453471894193
PESNICA,apartment,3.0,1629.123754842894,2056.07476635514
PIRAN,apartment,66.0,5214.898467494496,5176.624349461366
PIVKA,apartment,41.0,2581.195938962271,3121.0762331838564
PODVELKA,apartment,7.0,894.7977008686665,1116.0773195876288
PODČETRTEK,apartment,4.0,1394.8084395064866,1607.1504850912904
POLJČANE,apartment,7.0,1425.1788631228876,1526.7175572519086
POLZELA,apartment,7.0,2940.1033563507526,3242.02626641651
POSTOJNA,apartment,113.0,2766.9056646793024,2635.431918008785
POSTOJNA,house,5.0,2466.706471064899,2631.588495339547
PREBOLD,apartment,10.0,2204.240251770529,2394.4659991171616
PREBOLD,house,1.0,2105.263157894736,2105.263157894736
PREVALJE,apartment,17.0,1492.5123510435808,1249.9999999999995
PTUJ,apartment,52.0,2192.869791496753,2245.5090630964787
RADENCI,apartment,6.0,1232.6688583491155,1084.7441740577144
RADEČE,apartment,10.0,1575.6763861176141,1387.6408681497562
RADLJE OB DRAVI,apartment,10.0,2014.1174940296128,1880.1056853193797
RADOVLJICA,apartment,38.0,3398.4430142159354,3543.1781701444615
RAVNE NA KOROŠKEM,apartment,74.0,2097.184284571445,2241.6284385836693
RAČE-FRAM,apartment,3.0,1767.1250256500452,1427.7108433734938
REČICA OB SAVINJI,apartment,3.0,2306.2286649475036,2268.90756302521
RIBNICA,apartment,32.0,2614.8287048049037,2680.5003405783636
RIBNICA NA POHORJU,apartment,2.0,610.5733923359381,610.5733923359381
ROGATEC,apartment,11.0,1502.005842676578,1518.6104218362282
ROGAŠKA SLATINA,apartment,15.0,1954.498824192976,1875.0
ROGAŠOVCI,apartment,1.0,815.7099697885196,815.7099697885196
RUŠE,apartment,24.0,2058.110832851566,2083.0033387685376
SELNICA OB DRAVI,apartment,3.0,1470.5800420538565,1578.9473684210527
SEMIČ,apartment,3.0,1830.8913308913309,1500.0
SEVNICA,apartment,17.0,1581.5365731047675,1593.75
SEŽANA,apartment,22.0,2958.2448083240592,3073.2087468982627
SLOVENJ GRADEC,apartment,30.0,2162.1060600847786,2153.902798232695
SLOVENSKA BISTRICA,apartment,33.0,1881.9802895549267,1930.2949061662198
SLOVENSKE KONJICE,apartment,21.0,2320.3480629160076,2389.140271493213
SREDIŠČE OB DRAVI,apartment,2.0,620.5226408979761,620.5226408979761
STARŠE,apartment,4.0,1951.1426147198192,2318.312717698363
SVETA ANA,apartment,2.0,1198.751300728408,1198.751300728408
SVETI JURIJ V SLOVENSKIH GORICAH,apartment,25.0,2449.9969937591163,2447.332188841201
TABOR,apartment,1.0,1657.4585635359117,1657.4585635359117
TOLMIN,apartment,20.0,2021.7490580069489,2191.540761990139
TRBOVLJE,apartment,71.0,1723.9883306378213,1973.7991266375548
TREBNJE,apartment,13.0,2809.17815054462,2526.228
TRZIN,apartment,6.0,3470.0365577581547,3506.1090225563908
TRŽIČ,apartment,38.0,2769.379282595237,2926.4102102159054
TURNIŠČE,apartment,2.0,847.9915433403805,847.9915433403805
VELENJE,apartment,110.0,2509.9306497894418,2499.4715280264845
VERŽEJ,apartment,5.0,2389.7793733444637,2558.6353944562898
VIDEM,apartment,4.0,1856.7207836318603,1613.7709137709137
VIPAVA,apartment,4.0,2817.108690443337,2759.4490595893117
VITANJE,apartment,2.0,1629.564941251191,1629.564941251191
VOJNIK,apartment,5.0,1773.5776721481532,1012.6582278481012
VRANSKO,apartment,2.0,2404.1339667316943,2404.1339667316943
VRHNIKA,apartment,22.0,3695.062148665998,4025.379808283991
VUZENICA,apartment,5.0,1150.4038482786536,1286.55223880597
ZAGORJE OB SAVI,apartment,50.0,1962.5163053872934,2118.3113338069775
ZREČE,apartment,6.0,2373.830120502226,2257.9555939456995
ČRENŠOVCI,apartment,1.0,1206.030150753769,1206.030150753769
ČRNA NA KOROŠKEM,apartment,6.0,732.8727444309443,582.3355984611512
ČRNA NA KOROŠKEM,house,1.0,1555.2523874488404,1555.2523874488404
ČRNOMELJ,apartment,16.0,1406.7526767533698,1410.4986445411978
ŠALOVCI,apartment,1.0,873.015873015873,873.015873015873
ŠEMPETER-VRTOJBA,apartment,4.0,2781.3106299513943,2514.6389069616134
ŠENTILJ,apartment,10.0,1764.6934932187407,1510.0591715976332
ŠENTJERNEJ,apartment,19.0,2478.0322799041455,2526.3157894736837
ŠENTJUR,apartment,10.0,2208.5982212383924,2438.7374461979916
ŠENTRUPERT,apartment,1.0,1481.4814814814815,1481.4814814814815
ŠENČUR,apartment,2.0,2864.0848202892,2864.0848202892
ŠENČUR,house,3.0,3250.624390838206,3040.9356725146195
ŠKOCJAN,apartment,1.0,1723.9436619718308,1723.9436619718308
ŠKOFJA LOKA,apartment,83.0,3480.3120077657913,3600.0
ŠKOFJA LOKA,house,2.0,2370.4472575201057,2370.4472575201057
ŠKOFLJICA,apartment,6.0,4032.6640449090205,3787.891390809834
ŠMARJE PRI JELŠAH,apartment,8.0,2037.927745730596,1839.459655267819
ŠMARJEŠKE TOPLICE,apartment,6.0,3289.0352891451066,3114.0435155977652
ŠMARTNO OB PAKI,apartment,4.0,1568.4255012713204,1573.922765975746
ŠMARTNO PRI LITIJI,apartment,4.0,2089.043338438471,2094.294716064379
ŠOŠTANJ,apartment,17.0,2124.4507590459084,2294.1176470588234
ŠTORE,apartment,12.0,1763.8254695748358,1740.0640284482809
ŽALEC,apartment,32.0,2445.471174597109,2595.5957230142567
ŽELEZNIKI,apartment,1.0,3274.5098039215686,3274.5098039215686
ŽIRI,apartment,3.0,1709.251722449169,1767.7512274959083
ŽIROVNICA,apartment,2.0,2561.320754716981,2561.320754716981
SVETI TOMAŽ,apartment,14.0,2014.106344464,2034.1618594919998
GORIŠNICA,apartment,22.0,1907.725949796,1862.7659020439999
DOBROVA-POLHOV GRADEC,apartment,31.0,3436.943261664,3358.2613126079996
RAZKRIŽJE,apartment,9.0,1695.2831894639999,1678.1306248079998
GRAD,apartment,6.0,1349.602288332,1331.069302764
PREDDVOR,apartment,18.0,3571.060153548,3494.930205072
RENČE-VOGRSKO,apartment,16.0,2213.995538088,2185.869159816
KOMEN,apartment,12.0,2953.6067370240003,3022.402944528
DOBROVNIK,apartment,10.0,1841.776911192,1807.659330228
DOBJE,apartment,5.0,1297.7300838239998,1287.070680516
SODRAŽICA,apartment,11.0,2057.993140212,2027.2049318279999
MAKOLE,apartment,13.0,1748.665978476,1707.4901683320002
MARKOVCI,apartment,17.0,2174.392215288,2146.399049076
ŽUŽEMBERK,apartment,15.0,2363.686102224,2320.793137992
SVETA TROJICA V SLOVENSKIH GORICAH,apartment,19.0,2506.792153524,2473.738550808
OSILNICA,apartment,3.0,1437.0604577880001,1427.329473216
TRNOVSKA VAS,apartment,7.0,1581.8723370359999,1556.260368852
JURŠINCI,apartment,16.0,2279.216738328,2227.192337784
ZAVRČ,apartment,8.0,1513.868807292,1493.601837024
ŽETALE,apartment,11.0,1665.59095422,1625.728910592
DORNAVA,apartment,14.0,2065.7265015479998,2043.462779004
VELIKA POLANA,apartment,12.0,1979.725497156,1942.0074021839998
HORJUL,apartment,21.0,3189.998216628,3113.9983934879997
KOSTANJEVICA NA KRKI,apartment,9.0,2199.061192164,2159.0695777799997
VODICE,apartment,18.0,3617.9923389839996,3570.530638032
VELIKE LAŠČE,apartment,10.0,2052.4049302559997,2026.262091516
CANKOVA,apartment,6.0,1469.9949376319998,1453.6074628919998
TIŠINA,apartment,7.0,1642.5295943039998,1622.3926171320002
PODLEHNIK,apartment,5.0,1425.0611906039999,1410.275938356
SVETI JURIJ OB ŠČAVNICI,apartment,13.0,1946.9264633399998,1919.8617255119998
HODOŠ,apartment,4.0,1330.797062196,1315.862260104
CIRKULANE,apartment,9.0,1700.752495332,1672.5271421280002
PUCONCI,apartment,18.0,2027.992610604,1990.13150106
KOSTEL,apartment,3.0,1259.205061548,1246.661659536
DESTRNIK,apartment,11.0,2115.329543244,2080.130397912
NAKLO,apartment,17.0,3104.7982591679997,3035.996129016
STRAŽA,apartment,12.0,2365.863467316,2326.396933524
LUČE,apartment,6.0,1738.397991012,1708.007338524
KUZMA,apartment,4.0,1365.062285064,1355.7317182200002
LOŠKI POTOK,apartment,8.0,1554.929595816,1535.331205428
BISTRICA OB SOTLI,apartment,6.0,1607.070899568,1582.660100736
LJUBNO,apartment,7.0,1695.2031404880001,1666.2623911560001
SVETI ANDRAŽ V SLOVENSKIH GORICAH,apartment,10.0,1893.9982619399998,1859.997329184
SOLČAVA,apartment,5.0,1946.2629271679998,1930.0073662559998
ODRANCI,apartment,20.0,2192.930326332,2159.0662601639997
BELTINCI,apartment,23.0,2039.2048991039999,2007.0650619719997
